id,sourceId,institutionName,department,roleType,canton,city,availabilityStatus,availableFrom,fullyBookedUntil,durationMinWeeks,durationMaxWeeks,applicationMethod,applicationUrl,contactEmail,confidence,reviewStatus,sourceUrl,lastChecked
"kantonsspital-aarau-unknown-unterassistenz-0fc24c13fd19","ksa-aarau-unterassistenz-informationen","Kantonsspital Aarau",,"Unterassistenz","AG","Aarau","not-specified",,,,,"not-specified",,,"low","needs-human-review","https://www.ksa.ch/de/kantonsspital-aarau/karriere-bildung/bildung/aerztliche-aus-und-weiterbildung/unterassistenz-stellen/allgemeine-informationen-ua","2026-07-07T09:43:32.863Z"
"kantonsspital-winterthur-anasthesiologie-wahlstudienjahr-cd979639e751","ksw-winterthur-unterassistenz-famulatur-wahlstudienjahr","Kantonsspital Winterthur","Anästhesiologie","Wahlstudienjahr","ZH","Winterthur","not-specified",,,,,"online-form","https://www.ksw.ch/jobs-karriere/jobs/offene-stellen/","tanja.welsch@ksw.ch","medium","needs-human-review","https://www.ksw.ch/jobs-karriere/ausbildung/unterassistenz-famulatur-wahlstudienjahr/","2026-07-07T09:43:32.863Z"
"kantonsspital-winterthur-augenheilkunde-wahlstudienjahr-9781e4ab4969","ksw-winterthur-unterassistenz-famulatur-wahlstudienjahr","Kantonsspital Winterthur","Augenheilkunde","Wahlstudienjahr","ZH","Winterthur","application-only",,,"4","16","online-form","https://www.ksw.ch/jobs-karriere/jobs/offene-stellen/","tanja.welsch@ksw.ch","medium","needs-human-review","https://www.ksw.ch/jobs-karriere/ausbildung/unterassistenz-famulatur-wahlstudienjahr/","2026-07-07T09:43:32.863Z"
"kantonsspital-winterthur-chirurgie-wahlstudienjahr-9fba9d91d075","ksw-winterthur-unterassistenz-famulatur-wahlstudienjahr","Kantonsspital Winterthur","Chirurgie","Wahlstudienjahr","ZH","Winterthur","not-specified",,,,,"online-form","https://www.ksw.ch/jobs-karriere/jobs/offene-stellen/","tanja.welsch@ksw.ch","medium","needs-human-review","https://www.ksw.ch/jobs-karriere/ausbildung/unterassistenz-famulatur-wahlstudienjahr/","2026-07-07T09:43:32.863Z"
"kantonsspital-winterthur-frauenheilkunde-wahlstudienjahr-41d148b00e5e","ksw-winterthur-unterassistenz-famulatur-wahlstudienjahr","Kantonsspital Winterthur","Frauenheilkunde","Wahlstudienjahr","ZH","Winterthur","application-only",,,"4","16","online-form","https://www.ksw.ch/jobs-karriere/jobs/offene-stellen/","tanja.welsch@ksw.ch","medium","needs-human-review","https://www.ksw.ch/jobs-karriere/ausbildung/unterassistenz-famulatur-wahlstudienjahr/","2026-07-07T09:43:32.863Z"
"kantonsspital-winterthur-innere-medizin-wahlstudienjahr-b91933a9f31b","ksw-winterthur-unterassistenz-famulatur-wahlstudienjahr","Kantonsspital Winterthur","Innere Medizin","Wahlstudienjahr","ZH","Winterthur","not-specified",,,,,"online-form","https://www.ksw.ch/jobs-karriere/jobs/offene-stellen/","tanja.welsch@ksw.ch","medium","needs-human-review","https://www.ksw.ch/jobs-karriere/ausbildung/unterassistenz-famulatur-wahlstudienjahr/","2026-07-07T09:43:32.863Z"
"kantonsspital-winterthur-orthopadie-wahlstudienjahr-a6723bc1771a","ksw-winterthur-unterassistenz-famulatur-wahlstudienjahr","Kantonsspital Winterthur","Orthopädie","Wahlstudienjahr","ZH","Winterthur","not-specified",,,,,"online-form","https://www.ksw.ch/jobs-karriere/jobs/offene-stellen/","tanja.welsch@ksw.ch","medium","needs-human-review","https://www.ksw.ch/jobs-karriere/ausbildung/unterassistenz-famulatur-wahlstudienjahr/","2026-07-07T09:43:32.863Z"
"kantonsspital-winterthur-padiatrie-wahlstudienjahr-54f209e487e5","ksw-winterthur-unterassistenz-famulatur-wahlstudienjahr","Kantonsspital Winterthur","Pädiatrie","Wahlstudienjahr","ZH","Winterthur","application-only",,,"4","16","online-form","https://www.ksw.ch/jobs-karriere/jobs/offene-stellen/","tanja.welsch@ksw.ch","medium","needs-human-review","https://www.ksw.ch/jobs-karriere/ausbildung/unterassistenz-famulatur-wahlstudienjahr/","2026-07-07T09:43:32.863Z"
"kantonsspital-winterthur-radiologie-wahlstudienjahr-aefd246c186f","ksw-winterthur-unterassistenz-famulatur-wahlstudienjahr","Kantonsspital Winterthur","Radiologie","Wahlstudienjahr","ZH","Winterthur","not-specified",,,,,"online-form","https://www.ksw.ch/jobs-karriere/jobs/offene-stellen/","tanja.welsch@ksw.ch","medium","needs-human-review","https://www.ksw.ch/jobs-karriere/ausbildung/unterassistenz-famulatur-wahlstudienjahr/","2026-07-07T09:43:32.863Z"
"universitatsspital-zurich-neuroradiologie-unterassistenz-7d3e538377da","usz-zuerich-neuroradiologie-unterassistenzen-famulatur","Universitätsspital Zürich","Neuroradiologie","Unterassistenz","ZH","Zürich","available",,,"4","16","external-platform","https://job.usz.ch/job-invite/50370/",,"high","auto-published","https://www.usz.ch/bildung/aerzte/medizinstudium/unterassistenzen-famulatur-der-klinik-fuer-neuroradiologie/","2026-07-07T09:43:32.863Z"
